solution_id,service_level,service_level_pct,reward,total_cost,high_service,excellent_service,perfect_service,trajectory_length
1,0.015209125475285171,1.520912547528517,0.01,271731.83434330515,false,false,false,18
2,0.0,0.0,0.01,81000.0,false,false,false,3
3,1.0,100.0,100.0,656151.0450834413,true,true,true,69
4,0.3193916349809886,31.93916349809886,0.01,526329.3120137088,false,false,false,34
5,1.0,100.0,100.0,775343.3952608854,true,true,true,58
6,0.13049429657794676,13.049429657794676,0.01,484407.9518301273,false,false,false,22
7,1.0,100.0,100.0,720169.3775496979,true,true,true,70
8,1.0,100.0,100.0,703377.4763859024,true,true,true,68
9,1.0,100.0,100.0,631503.7933842837,true,true,true,70
10,0.5577946768060836,55.77946768060836,0.01,1.4233590958771214e6,false,false,false,101
11,1.0,100.0,100.0,780247.1116038786,true,true,true,77
12,1.0,100.0,100.0,654143.9059711554,true,true,true,64
13,0.10342205323193916,10.342205323193916,0.01,1.0386905627677672e6,false,false,false,85
14,0.9180608365019012,91.80608365019012,20.0,669623.3581666169,false,false,false,59
15,1.0,100.0,100.0,722492.9725575715,true,true,true,70
16,1.0,100.0,100.0,742670.9815438204,true,true,true,75
17,0.2200380228136882,22.00380228136882,0.01,973769.7562298607,false,false,false,52
18,1.0,100.0,100.0,612695.4190103151,true,true,true,74
19,1.0,100.0,100.0,654491.3547224287,true,true,true,59
20,0.5259315589353613,52.59315589353613,0.01,477778.75074333616,false,false,false,43
21,0.4003041825095057,40.030418250950575,0.01,437954.6364208755,false,false,false,24
22,1.0,100.0,100.0,789413.856214124,true,true,true,87
23,1.0,100.0,100.0,681373.6451409541,true,true,true,69
24,0.9562737642585551,95.62737642585552,100.0,610443.1161066785,true,false,false,65
25,0.8653992395437262,86.53992395437263,0.01,684467.7472447704,false,false,false,58
26,1.0,100.0,100.0,648027.5679610407,true,true,true,66
27,0.0076045627376425855,0.7604562737642585,0.01,888015.7230153858,false,false,false,67
28,1.0,100.0,100.0,754331.5594715142,true,true,true,74
29,0.8844106463878327,88.44106463878327,0.01,625157.3030864235,false,false,false,60
30,0.12547528517110265,12.547528517110266,0.01,1.119410475794225e6,false,false,false,92
31,1.0,100.0,100.0,757898.1947501773,true,true,true,80
32,1.0,100.0,100.0,720126.8898541544,true,true,true,73
33,0.8490494296577947,84.90494296577947,0.01,577476.480993393,false,false,false,50
34,1.0,100.0,100.0,725167.6486341449,true,true,true,79
35,0.9874524714828897,98.74524714828897,100.0,534676.6034955331,true,true,false,47
36,0.7832699619771863,78.32699619771863,0.01,634564.9717120863,false,false,false,56
37,1.0,100.0,100.0,699820.2920779474,true,true,true,76
38,1.0,100.0,100.0,704350.5106175421,true,true,true,79
39,0.0,0.0,0.01,118400.0,false,false,false,4
40,1.0,100.0,100.0,731380.1479160221,true,true,true,78
41,0.5391634980988593,53.91634980988593,0.01,581795.2156089155,false,false,false,43
42,0.8992395437262357,89.92395437262357,0.01,560249.8490401275,false,false,false,47
43,0.0,0.0,0.01,195400.0,false,false,false,5
44,1.0,100.0,100.0,825266.0788474436,true,true,true,76
45,1.0,100.0,100.0,870207.3669404634,true,true,true,78
46,1.0,100.0,100.0,849472.9075646827,true,true,true,88
47,1.0,100.0,100.0,737447.4107931344,true,true,true,78
48,1.0,100.0,100.0,649584.7117827414,true,true,true,67
49,1.0,100.0,100.0,711129.8581054596,true,true,true,73
50,0.9385931558935361,93.85931558935361,20.0,615049.4545477178,false,false,false,61
51,0.0,0.0,0.01,210800.0,false,false,false,4
52,0.4488212927756654,44.88212927756654,0.01,550272.1653006086,false,false,false,37
53,1.0,100.0,100.0,653208.39083524,true,true,true,80
54,1.0,100.0,100.0,904119.9738936378,true,true,true,78
55,0.7939163498098859,79.39163498098858,0.01,631376.5985253884,false,false,false,61
56,0.0,0.0,0.01,0.0,false,false,false,2
57,0.8289733840304182,82.89733840304181,0.01,569208.6979265335,false,false,false,38
58,1.0,100.0,100.0,781792.685364321,true,true,true,75
59,0.9866920152091255,98.66920152091255,100.0,630381.8928851855,true,true,false,63
60,0.9813688212927757,98.13688212927757,100.0,656105.9020617282,true,true,false,60
61,1.0,100.0,100.0,796975.5312248231,true,true,true,72
62,1.0,100.0,100.0,758715.587519396,true,true,true,73
63,1.0,100.0,100.0,982627.2200852423,true,true,true,82
64,1.0,100.0,100.0,732081.685530612,true,true,true,81
65,0.9171102661596958,91.71102661596959,20.0,535882.9096149876,false,false,false,49
66,1.0,100.0,100.0,721535.8574230052,true,true,true,68
67,0.03954372623574144,3.954372623574144,0.01,309263.7354095682,false,false,false,16
68,1.0,100.0,100.0,684011.8863161412,true,true,true,62
69,0.28665399239543726,28.665399239543728,0.01,352823.95591722516,false,false,false,22
70,0.39695817490494295,39.69581749049429,0.01,438629.2027734243,false,false,false,35
71,0.3596958174904943,35.969581749049425,0.01,369321.79146816646,false,false,false,25
72,0.4485171102661597,44.85171102661597,0.01,788246.9005803472,false,false,false,60
73,0.8277566539923954,82.77566539923954,0.01,689850.2291699505,false,false,false,58
74,0.3688212927756654,36.88212927756654,0.01,290419.1289480859,false,false,false,23
75,1.0,100.0,100.0,634969.9545174063,true,true,true,66
76,1.0,100.0,100.0,717433.5088998341,true,true,true,81
77,1.0,100.0,100.0,762483.020236509,true,true,true,78
78,0.09505703422053231,9.505703422053232,0.01,328959.3658625644,false,false,false,9
79,1.0,100.0,100.0,763955.8529149595,true,true,true,76
80,1.0,100.0,100.0,685648.1321013096,true,true,true,58
81,0.02053231939163498,2.0532319391634983,0.01,283549.1052622467,false,false,false,10
82,1.0,100.0,100.0,659780.0523800367,true,true,true,63
83,0.0,0.0,0.01,79500.0,false,false,false,3
84,1.0,100.0,100.0,706645.3052151526,true,true,true,64
85,1.0,100.0,100.0,669699.8829751033,true,true,true,56
86,1.0,100.0,100.0,637925.8792578528,true,true,true,59
87,0.6059315589353612,60.59315589353612,0.01,466023.24335133686,false,false,false,31
88,0.360532319391635,36.053231939163496,0.01,484555.8913951193,false,false,false,27
89,1.0,100.0,100.0,736139.7512603718,true,true,true,73
90,0.41825095057034223,41.825095057034225,0.01,953112.069995598,false,false,false,95
91,1.0,100.0,100.0,702905.9883035069,true,true,true,75
92,0.0,0.0,0.01,150625.0,false,false,false,4
93,1.0,100.0,100.0,737305.4028263878,true,true,true,64
94,0.2661596958174905,26.61596958174905,0.01,583899.7666096481,false,false,false,28
